ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48E766DC47FAF3FBBFF,2023-01-28 00:00:00,001,颗粒物,0.255,20,,0,0,2023-01-29T12:35:07.3,2023-01-29T12:35:07.3,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48E766DC47FAF3FBBFF,2023-01-28 00:00:00,002,二氧化硫,4.733,80,,0,0,2023-01-29T12:35:07.3,2023-01-29T12:35:07.3,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48E766DC47FAF3FBBFF,2023-01-28 00:00:00,003,氮氧化物,110.041,250,,0,0,2023-01-29T12:35:07.3,2023-01-29T12:35:07.3,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48E766DC47FAF3FBBFF,2023-01-28 00:00:00,004,一氧化碳,1.104,80,,0,0,2023-01-29T12:35:07.3,2023-01-29T12:35:07.3,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48E766DC47FAF3FBBFF,2023-01-28 00:00:00,008,氯化氢,2.484,50,,0,0,2023-01-29T12:35:07.303,2023-01-29T12:35:07.303,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48EDCB296547CF418C2,2023-01-28 00:00:00,001,颗粒物,0.378,20,,0,0,2023-01-29T12:35:07.423,2023-01-29T12:35:07.423,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48EDCB296547CF418C2,2023-01-28 00:00:00,002,二氧化硫,8.891,80,,0,0,2023-01-29T12:35:07.423,2023-01-29T12:35:07.423,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48EDCB296547CF418C2,2023-01-28 00:00:00,003,氮氧化物,89.826,250,,0,0,2023-01-29T12:35:07.423,2023-01-29T12:35:07.423,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48EDCB296547CF418C2,2023-01-28 00:00:00,004,一氧化碳,0.366,80,,0,0,2023-01-29T12:35:07.423,2023-01-29T12:35:07.423,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48EDCB296547CF418C2,2023-01-28 00:00:00,008,氯化氢,3.317,50,,0,0,2023-01-29T12:35:07.427,2023-01-29T12:35:07.427,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48EC6BE505657978751,2023-01-28 00:00:00,001,颗粒物,,20,,0,0,2023-01-29T12:35:07.657,2023-01-30T14:30:15.403,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48EC6BE505657978751,2023-01-28 00:00:00,002,二氧化硫,,80,,0,0,2023-01-29T12:35:07.657,2023-01-30T14:30:15.403,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48EC6BE505657978751,2023-01-28 00:00:00,003,氮氧化物,,250,,0,0,2023-01-29T12:35:07.657,2023-01-30T14:30:15.403,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48EC6BE505657978751,2023-01-28 00:00:00,004,一氧化碳,,80,,0,0,2023-01-29T12:35:07.657,2023-01-30T14:30:15.403,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48EC6BE505657978751,2023-01-28 00:00:00,008,氯化氢,,50,,0,0,2023-01-29T12:35:07.657,2023-01-30T14:30:15.403,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48E86C9C9DF0058D01B,2023-01-28 00:00:00,001,颗粒物,2.518,20,,0,0,2023-01-29T12:35:07.667,2023-01-30T14:30:15.403,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48E86C9C9DF0058D01B,2023-01-28 00:00:00,002,二氧化硫,10.759,80,,0,0,2023-01-29T12:35:07.667,2023-01-30T14:30:15.403,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48E86C9C9DF0058D01B,2023-01-28 00:00:00,003,氮氧化物,169.94,250,,0,0,2023-01-29T12:35:07.67,2023-01-30T14:30:15.403,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48E86C9C9DF0058D01B,2023-01-28 00:00:00,004,一氧化碳,1.265,80,,0,0,2023-01-29T12:35:07.67,2023-01-30T14:30:15.403,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48E86C9C9DF0058D01B,2023-01-28 00:00:00,008,氯化氢,4.085,50,,0,0,2023-01-29T12:35:07.67,2023-01-30T14:30:15.403,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48E6B28CF7F2781473E,2023-01-28 00:00:00,001,颗粒物,2.428,20,,0,0,2023-01-29T12:35:07.41,2023-01-29T12:35:07.41,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48E6B28CF7F2781473E,2023-01-28 00:00:00,002,二氧化硫,8.03,80,,0,0,2023-01-29T12:35:07.41,2023-01-29T12:35:07.41,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48E6B28CF7F2781473E,2023-01-28 00:00:00,003,氮氧化物,164.973,250,,0,0,2023-01-29T12:35:07.41,2023-01-29T12:35:07.41,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48E6B28CF7F2781473E,2023-01-28 00:00:00,004,一氧化碳,3.138,80,,0,0,2023-01-29T12:35:07.41,2023-01-29T12:35:07.41,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48E6B28CF7F2781473E,2023-01-28 00:00:00,008,氯化氢,3.474,50,,0,0,2023-01-29T12:35:07.413,2023-01-29T12:35:07.413,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48ED4D60498B465507F,2023-01-28 00:00:00,001,颗粒物,1.911,20,,0,0,2023-01-29T12:35:07.393,2023-01-29T12:35:07.393,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48ED4D60498B465507F,2023-01-28 00:00:00,002,二氧化硫,7.8,80,,0,0,2023-01-29T12:35:07.397,2023-01-29T12:35:07.397,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48ED4D60498B465507F,2023-01-28 00:00:00,003,氮氧化物,168.973,250,,0,0,2023-01-29T12:35:07.397,2023-01-29T12:35:07.397,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48ED4D60498B465507F,2023-01-28 00:00:00,004,一氧化碳,3.887,80,,0,0,2023-01-29T12:35:07.397,2023-01-29T12:35:07.397,20230128
F3AB5916A417E48EB99A98707FD52A7F,F3AB5916A417E48ED4D60498B465507F,2023-01-28 00:00:00,008,氯化氢,3.11,50,,0,0,2023-01-29T12:35:07.4,2023-01-29T12:35:07.4,20230128
