ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
2FC51BC0AB25E9211F560C026963F9F2,2FC51BC0AB25E921D5FA12A68D82CC23,2023-01-26 00:00:00,001,颗粒物,6.06,20,,0,0,2023-01-27T12:35:04.543,2023-01-28T14:45:49.933,20230126
2FC51BC0AB25E9211F560C026963F9F2,2FC51BC0AB25E921D5FA12A68D82CC23,2023-01-26 00:00:00,002,二氧化硫,37.185,80,,0,0,2023-01-27T12:35:04.54,2023-01-28T14:45:49.933,20230126
2FC51BC0AB25E9211F560C026963F9F2,2FC51BC0AB25E921D5FA12A68D82CC23,2023-01-26 00:00:00,003,氮氧化物,193.4,250,,0,0,2023-01-27T12:35:04.54,2023-01-28T14:45:49.933,20230126
2FC51BC0AB25E9211F560C026963F9F2,2FC51BC0AB25E921D5FA12A68D82CC23,2023-01-26 00:00:00,004,一氧化碳,1.48,80,,0,0,2023-01-27T12:35:04.54,2023-01-28T14:45:49.933,20230126
2FC51BC0AB25E9211F560C026963F9F2,2FC51BC0AB25E921D5FA12A68D82CC23,2023-01-26 00:00:00,008,氯化氢,15.23,50,,0,0,2023-01-27T12:35:04.54,2023-01-28T14:45:49.933,20230126
2FC51BC0AB25E9211F560C026963F9F2,2FC51BC0AB25E921B1C7642987E1D457,2023-01-26 00:00:00,001,颗粒物,5.16,20,,0,0,2023-01-27T12:35:04.577,2023-01-28T14:45:49.933,20230126
2FC51BC0AB25E9211F560C026963F9F2,2FC51BC0AB25E921B1C7642987E1D457,2023-01-26 00:00:00,002,二氧化硫,40.562,80,,0,0,2023-01-27T12:35:04.577,2023-01-28T14:45:49.933,20230126
2FC51BC0AB25E9211F560C026963F9F2,2FC51BC0AB25E921B1C7642987E1D457,2023-01-26 00:00:00,003,氮氧化物,198.89,250,,0,0,2023-01-27T12:35:04.58,2023-01-28T14:45:49.933,20230126
2FC51BC0AB25E9211F560C026963F9F2,2FC51BC0AB25E921B1C7642987E1D457,2023-01-26 00:00:00,004,一氧化碳,2.06,80,,0,0,2023-01-27T12:35:04.58,2023-01-28T14:45:49.933,20230126
2FC51BC0AB25E9211F560C026963F9F2,2FC51BC0AB25E921B1C7642987E1D457,2023-01-26 00:00:00,008,氯化氢,17.32,50,,0,0,2023-01-27T12:35:04.58,2023-01-28T14:45:49.933,20230126
2FC51BC0AB25E9211F560C026963F9F2,2FC51BC0AB25E92142DEC209FE5232FF,2023-01-26 00:00:00,001,颗粒物,15.07,20,,0,0,2023-01-27T12:35:04.563,2023-01-28T14:45:49.933,20230126
2FC51BC0AB25E9211F560C026963F9F2,2FC51BC0AB25E92142DEC209FE5232FF,2023-01-26 00:00:00,002,二氧化硫,44.445,80,,0,0,2023-01-27T12:35:04.563,2023-01-28T14:45:49.933,20230126
2FC51BC0AB25E9211F560C026963F9F2,2FC51BC0AB25E92142DEC209FE5232FF,2023-01-26 00:00:00,003,氮氧化物,197.09,250,,0,0,2023-01-27T12:35:04.563,2023-01-28T14:45:49.933,20230126
2FC51BC0AB25E9211F560C026963F9F2,2FC51BC0AB25E92142DEC209FE5232FF,2023-01-26 00:00:00,004,一氧化碳,3.27,80,,0,0,2023-01-27T12:35:04.563,2023-01-28T14:45:49.933,20230126
2FC51BC0AB25E9211F560C026963F9F2,2FC51BC0AB25E92142DEC209FE5232FF,2023-01-26 00:00:00,008,氯化氢,17.46,50,,0,0,2023-01-27T12:35:04.563,2023-01-28T14:45:49.933,20230126
