ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
068E652C488E6D0103C2369852C6E420,068E652C488E6D01D2926B4A93469951,2023-01-18 00:00:00,001,颗粒物,2.27,20,,0,0,2023-01-19T12:35:06.88,2023-01-20T14:30:19.66,20230118
068E652C488E6D0103C2369852C6E420,068E652C488E6D01D2926B4A93469951,2023-01-18 00:00:00,002,二氧化硫,21.31,80,,0,0,2023-01-19T12:35:06.88,2023-01-20T14:30:19.66,20230118
068E652C488E6D0103C2369852C6E420,068E652C488E6D01D2926B4A93469951,2023-01-18 00:00:00,003,氮氧化物,117.911,250,,0,0,2023-01-19T12:35:06.88,2023-01-20T14:30:19.66,20230118
068E652C488E6D0103C2369852C6E420,068E652C488E6D01D2926B4A93469951,2023-01-18 00:00:00,004,一氧化碳,0.105,80,,0,0,2023-01-19T12:35:06.88,2023-01-20T14:30:19.66,20230118
068E652C488E6D0103C2369852C6E420,068E652C488E6D01D2926B4A93469951,2023-01-18 00:00:00,008,氯化氢,9.889,50,,0,0,2023-01-19T12:35:06.88,2023-01-20T14:30:19.66,20230118
068E652C488E6D0103C2369852C6E420,068E652C488E6D015EEE112CAF2FD696,2023-01-18 00:00:00,001,颗粒物,1.47,20,,0,0,2023-01-19T12:35:06.92,2023-01-20T14:30:19.66,20230118
068E652C488E6D0103C2369852C6E420,068E652C488E6D015EEE112CAF2FD696,2023-01-18 00:00:00,002,二氧化硫,16.81,80,,0,0,2023-01-19T12:35:06.92,2023-01-20T14:30:19.66,20230118
068E652C488E6D0103C2369852C6E420,068E652C488E6D015EEE112CAF2FD696,2023-01-18 00:00:00,003,氮氧化物,107.608,250,,0,0,2023-01-19T12:35:06.923,2023-01-20T14:30:19.66,20230118
068E652C488E6D0103C2369852C6E420,068E652C488E6D015EEE112CAF2FD696,2023-01-18 00:00:00,004,一氧化碳,0.016,80,,0,0,2023-01-19T12:35:06.923,2023-01-20T14:30:19.66,20230118
068E652C488E6D0103C2369852C6E420,068E652C488E6D015EEE112CAF2FD696,2023-01-18 00:00:00,008,氯化氢,10.887,50,,0,0,2023-01-19T12:35:06.923,2023-01-20T14:30:19.66,20230118
