ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE703493F26ABFFB7B4,2023-01-01 00:00:00,001,颗粒物,2.27,20,,0,0,2023-01-02T12:35:08.823,2023-01-02T12:35:08.823,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE703493F26ABFFB7B4,2023-01-01 00:00:00,002,二氧化硫,4.5,80,,0,0,2023-01-02T12:35:08.823,2023-01-02T12:35:08.823,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE703493F26ABFFB7B4,2023-01-01 00:00:00,003,氮氧化物,147.356,250,,0,0,2023-01-02T12:35:08.823,2023-01-02T12:35:08.823,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE703493F26ABFFB7B4,2023-01-01 00:00:00,004,一氧化碳,1.334,80,,0,0,2023-01-02T12:35:08.827,2023-01-02T12:35:08.827,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE703493F26ABFFB7B4,2023-01-01 00:00:00,008,氯化氢,3.998,50,,0,0,2023-01-02T12:35:08.827,2023-01-02T12:35:08.827,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE7E6C4371762AC78F1,2023-01-01 00:00:00,001,颗粒物,2.07,20,,0,0,2023-01-02T12:35:08.817,2023-01-02T12:35:08.817,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE7E6C4371762AC78F1,2023-01-01 00:00:00,002,二氧化硫,2.39,80,,0,0,2023-01-02T12:35:08.817,2023-01-02T12:35:08.817,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE7E6C4371762AC78F1,2023-01-01 00:00:00,003,氮氧化物,158.904,250,,0,0,2023-01-02T12:35:08.82,2023-01-02T12:35:08.82,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE7E6C4371762AC78F1,2023-01-01 00:00:00,004,一氧化碳,0.78,80,,0,0,2023-01-02T12:35:08.82,2023-01-02T12:35:08.82,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE7E6C4371762AC78F1,2023-01-01 00:00:00,008,氯化氢,2.849,50,,0,0,2023-01-02T12:35:08.82,2023-01-02T12:35:08.82,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE74E7350B5B3EAB2B5,2023-01-01 00:00:00,001,颗粒物,2.75,20,,0,0,2023-01-02T12:35:08.85,2023-01-02T12:35:08.85,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE74E7350B5B3EAB2B5,2023-01-01 00:00:00,002,二氧化硫,9.57,80,,0,0,2023-01-02T12:35:08.85,2023-01-02T12:35:08.85,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE74E7350B5B3EAB2B5,2023-01-01 00:00:00,003,氮氧化物,152.769,250,,0,0,2023-01-02T12:35:08.85,2023-01-02T12:35:08.85,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE74E7350B5B3EAB2B5,2023-01-01 00:00:00,004,一氧化碳,0.968,80,,0,0,2023-01-02T12:35:08.853,2023-01-02T12:35:08.853,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE74E7350B5B3EAB2B5,2023-01-01 00:00:00,008,氯化氢,14.143,50,,0,0,2023-01-02T12:35:08.853,2023-01-02T12:35:08.853,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE76936A00FB1B7E047,2023-01-01 00:00:00,001,颗粒物,,20,,0,0,2023-01-02T12:35:08.853,2023-01-03T14:30:25.203,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE76936A00FB1B7E047,2023-01-01 00:00:00,002,二氧化硫,,80,,0,0,2023-01-02T12:35:08.853,2023-01-03T14:30:25.203,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE76936A00FB1B7E047,2023-01-01 00:00:00,003,氮氧化物,,250,,0,0,2023-01-02T12:35:08.853,2023-01-03T14:30:25.203,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE76936A00FB1B7E047,2023-01-01 00:00:00,004,一氧化碳,,80,,0,0,2023-01-02T12:35:08.853,2023-01-03T14:30:25.203,20230101
710ED230A1404DE7FB800CD6610A3DF6,710ED230A1404DE76936A00FB1B7E047,2023-01-01 00:00:00,008,氯化氢,,50,,0,0,2023-01-02T12:35:08.853,2023-01-03T14:30:25.203,20230101
