ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
85148DA402057DF69ABADFEC5689260F,85148DA402057DF624489254E6403A4A,2023-01-29 00:00:00,001,颗粒物,,20,,0,0,2023-01-30T12:35:07.59,2023-02-01T14:30:45.613,20230129
85148DA402057DF69ABADFEC5689260F,85148DA402057DF624489254E6403A4A,2023-01-29 00:00:00,002,二氧化硫,,80,,0,0,2023-01-30T12:35:07.59,2023-02-01T14:30:45.613,20230129
85148DA402057DF69ABADFEC5689260F,85148DA402057DF624489254E6403A4A,2023-01-29 00:00:00,003,氮氧化物,,250,,0,0,2023-01-30T12:35:07.59,2023-02-01T14:30:45.613,20230129
85148DA402057DF69ABADFEC5689260F,85148DA402057DF624489254E6403A4A,2023-01-29 00:00:00,004,一氧化碳,,80,,0,0,2023-01-30T12:35:07.59,2023-02-01T14:30:45.613,20230129
85148DA402057DF69ABADFEC5689260F,85148DA402057DF624489254E6403A4A,2023-01-29 00:00:00,008,氯化氢,,50,,0,0,2023-01-30T12:35:07.59,2023-02-01T14:30:45.613,20230129
85148DA402057DF69ABADFEC5689260F,85148DA402057DF66A7CA65C5615B3FE,2023-01-29 00:00:00,001,颗粒物,2.539,20,,0,0,2023-01-30T12:35:07.573,2023-01-31T14:30:24.91,20230129
85148DA402057DF69ABADFEC5689260F,85148DA402057DF66A7CA65C5615B3FE,2023-01-29 00:00:00,002,二氧化硫,8.152,80,,0,0,2023-01-30T12:35:07.573,2023-01-31T14:30:24.91,20230129
85148DA402057DF69ABADFEC5689260F,85148DA402057DF66A7CA65C5615B3FE,2023-01-29 00:00:00,003,氮氧化物,36.539,250,,0,0,2023-01-30T12:35:07.577,2023-01-31T14:30:24.91,20230129
85148DA402057DF69ABADFEC5689260F,85148DA402057DF66A7CA65C5615B3FE,2023-01-29 00:00:00,004,一氧化碳,0.126,80,,0,0,2023-01-30T12:35:07.577,2023-01-31T14:30:24.91,20230129
85148DA402057DF69ABADFEC5689260F,85148DA402057DF66A7CA65C5615B3FE,2023-01-29 00:00:00,008,氯化氢,4.427,50,,0,0,2023-01-30T12:35:07.577,2023-01-31T14:30:24.91,20230129
