ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
8F3EAC9171F405F404499DBC2CD5D072,8F3EAC9171F405F44345F555D4C175A2,2023-01-12 00:00:00,001,颗粒物,0.549,20,,0,0,2023-01-13T12:35:07.243,2023-01-14T14:30:14.85,20230112
8F3EAC9171F405F404499DBC2CD5D072,8F3EAC9171F405F44345F555D4C175A2,2023-01-12 00:00:00,002,二氧化硫,25.0,80,,0,0,2023-01-13T12:35:07.243,2023-01-14T14:30:14.85,20230112
8F3EAC9171F405F404499DBC2CD5D072,8F3EAC9171F405F44345F555D4C175A2,2023-01-12 00:00:00,003,氮氧化物,67.3,250,,0,0,2023-01-13T12:35:07.243,2023-01-14T14:30:14.85,20230112
8F3EAC9171F405F404499DBC2CD5D072,8F3EAC9171F405F44345F555D4C175A2,2023-01-12 00:00:00,004,一氧化碳,1.13,80,,0,0,2023-01-13T12:35:07.243,2023-01-14T14:30:14.85,20230112
8F3EAC9171F405F404499DBC2CD5D072,8F3EAC9171F405F44345F555D4C175A2,2023-01-12 00:00:00,008,氯化氢,9.6,50,,0,0,2023-01-13T12:35:07.243,2023-01-14T14:30:14.85,20230112
8F3EAC9171F405F404499DBC2CD5D072,8F3EAC9171F405F4B00E08C278E31DAE,2023-01-12 00:00:00,001,颗粒物,1.464,20,,0,0,2023-01-13T12:35:07.24,2023-01-14T14:30:14.85,20230112
8F3EAC9171F405F404499DBC2CD5D072,8F3EAC9171F405F4B00E08C278E31DAE,2023-01-12 00:00:00,002,二氧化硫,32.2,80,,0,0,2023-01-13T12:35:07.24,2023-01-14T14:30:14.85,20230112
8F3EAC9171F405F404499DBC2CD5D072,8F3EAC9171F405F4B00E08C278E31DAE,2023-01-12 00:00:00,003,氮氧化物,72.7,250,,0,0,2023-01-13T12:35:07.24,2023-01-14T14:30:14.85,20230112
8F3EAC9171F405F404499DBC2CD5D072,8F3EAC9171F405F4B00E08C278E31DAE,2023-01-12 00:00:00,004,一氧化碳,0.66,80,,0,0,2023-01-13T12:35:07.24,2023-01-14T14:30:14.85,20230112
8F3EAC9171F405F404499DBC2CD5D072,8F3EAC9171F405F4B00E08C278E31DAE,2023-01-12 00:00:00,008,氯化氢,3.26,50,,0,0,2023-01-13T12:35:07.24,2023-01-14T14:30:14.85,20230112
8F3EAC9171F405F404499DBC2CD5D072,8F3EAC9171F405F4F6340DDAFC62C8CF,2023-01-12 00:00:00,001,颗粒物,2.073,20,,0,0,2023-01-13T12:35:07.103,2023-01-14T14:30:14.85,20230112
8F3EAC9171F405F404499DBC2CD5D072,8F3EAC9171F405F4F6340DDAFC62C8CF,2023-01-12 00:00:00,002,二氧化硫,4.9,80,,0,0,2023-01-13T12:35:07.103,2023-01-14T14:30:14.85,20230112
8F3EAC9171F405F404499DBC2CD5D072,8F3EAC9171F405F4F6340DDAFC62C8CF,2023-01-12 00:00:00,003,氮氧化物,68.3,250,,0,0,2023-01-13T12:35:07.103,2023-01-14T14:30:14.85,20230112
8F3EAC9171F405F404499DBC2CD5D072,8F3EAC9171F405F4F6340DDAFC62C8CF,2023-01-12 00:00:00,004,一氧化碳,1.69,80,,0,0,2023-01-13T12:35:07.103,2023-01-14T14:30:14.85,20230112
8F3EAC9171F405F404499DBC2CD5D072,8F3EAC9171F405F4F6340DDAFC62C8CF,2023-01-12 00:00:00,008,氯化氢,2.6,50,,0,0,2023-01-13T12:35:07.103,2023-01-14T14:30:14.85,20230112
