ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10A1436D310CED3DD4,2023-01-21 00:00:00,001,颗粒物,2.12,20,,0,0,2023-01-22T12:35:06.4,2023-01-23T14:30:17.997,20230121
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10A1436D310CED3DD4,2023-01-21 00:00:00,002,二氧化硫,60.11,80,,0,0,2023-01-22T12:35:06.4,2023-01-23T14:30:17.997,20230121
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10A1436D310CED3DD4,2023-01-21 00:00:00,003,氮氧化物,193.168,250,,0,0,2023-01-22T12:35:06.4,2023-01-23T14:30:17.997,20230121
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10A1436D310CED3DD4,2023-01-21 00:00:00,004,一氧化碳,15.572,80,,0,0,2023-01-22T12:35:06.4,2023-01-23T14:30:17.997,20230121
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10A1436D310CED3DD4,2023-01-21 00:00:00,008,氯化氢,5.239,50,,0,0,2023-01-22T12:35:06.4,2023-01-23T14:30:17.997,20230121
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10AAC64EE02879BA5A,2023-01-21 00:00:00,001,颗粒物,1.616,20,,0,0,2023-01-22T12:35:06.373,2023-01-23T14:30:17.997,20230121
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10AAC64EE02879BA5A,2023-01-21 00:00:00,002,二氧化硫,16.646,80,,0,0,2023-01-22T12:35:06.377,2023-01-23T14:30:17.997,20230121
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10AAC64EE02879BA5A,2023-01-21 00:00:00,003,氮氧化物,114.084,250,,0,0,2023-01-22T12:35:06.377,2023-01-23T14:30:17.997,20230121
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10AAC64EE02879BA5A,2023-01-21 00:00:00,004,一氧化碳,0.731,80,,0,0,2023-01-22T12:35:06.373,2023-01-23T14:30:17.997,20230121
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10AAC64EE02879BA5A,2023-01-21 00:00:00,008,氯化氢,6.262,50,,0,0,2023-01-22T12:35:06.373,2023-01-23T14:30:17.997,20230121
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10C8F2F0017DBA031D,2023-01-21 00:00:00,001,颗粒物,2.214,20,,0,0,2023-01-22T12:35:06.4,2023-01-23T14:30:17.997,20230121
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10C8F2F0017DBA031D,2023-01-21 00:00:00,002,二氧化硫,62.252,80,,0,0,2023-01-22T12:35:06.4,2023-01-23T14:30:17.997,20230121
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10C8F2F0017DBA031D,2023-01-21 00:00:00,003,氮氧化物,108.339,250,,0,0,2023-01-22T12:35:06.4,2023-01-23T14:30:17.997,20230121
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10C8F2F0017DBA031D,2023-01-21 00:00:00,004,一氧化碳,49.843,80,,0,0,2023-01-22T12:35:06.4,2023-01-23T14:30:17.997,20230121
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10C8F2F0017DBA031D,2023-01-21 00:00:00,008,氯化氢,2.344,50,,0,0,2023-01-22T12:35:06.4,2023-01-23T14:30:17.997,20230121
