ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
8F3EAC9171F405F4717F848F9B737358,8F3EAC9171F405F4791182F2B0FD282B,2023-01-15 00:00:00,001,颗粒物,2.56,20,,0,0,2023-01-16T12:35:06.863,2023-01-17T14:31:07.623,20230115
8F3EAC9171F405F4717F848F9B737358,8F3EAC9171F405F4791182F2B0FD282B,2023-01-15 00:00:00,002,二氧化硫,0.01,80,,0,0,2023-01-16T12:35:06.863,2023-01-17T14:31:07.623,20230115
8F3EAC9171F405F4717F848F9B737358,8F3EAC9171F405F4791182F2B0FD282B,2023-01-15 00:00:00,003,氮氧化物,147.91,250,,0,0,2023-01-16T12:35:06.86,2023-01-17T14:31:07.623,20230115
8F3EAC9171F405F4717F848F9B737358,8F3EAC9171F405F4791182F2B0FD282B,2023-01-15 00:00:00,004,一氧化碳,0.109,80,,0,0,2023-01-16T12:35:06.863,2023-01-17T14:31:07.623,20230115
8F3EAC9171F405F4717F848F9B737358,8F3EAC9171F405F4791182F2B0FD282B,2023-01-15 00:00:00,008,氯化氢,16.684,50,,0,0,2023-01-16T12:35:06.863,2023-01-17T14:31:07.623,20230115
8F3EAC9171F405F4717F848F9B737358,8F3EAC9171F405F472C34E8466458022,2023-01-15 00:00:00,001,颗粒物,2.11,20,,0,0,2023-01-16T12:35:06.76,2023-01-17T14:31:07.623,20230115
8F3EAC9171F405F4717F848F9B737358,8F3EAC9171F405F472C34E8466458022,2023-01-15 00:00:00,002,二氧化硫,4.85,80,,0,0,2023-01-16T12:35:06.76,2023-01-17T14:31:07.623,20230115
8F3EAC9171F405F4717F848F9B737358,8F3EAC9171F405F472C34E8466458022,2023-01-15 00:00:00,003,氮氧化物,111.605,250,,0,0,2023-01-16T12:35:06.76,2023-01-17T14:31:07.623,20230115
8F3EAC9171F405F4717F848F9B737358,8F3EAC9171F405F472C34E8466458022,2023-01-15 00:00:00,004,一氧化碳,3.0,80,,0,0,2023-01-16T12:35:06.76,2023-01-17T14:31:07.623,20230115
8F3EAC9171F405F4717F848F9B737358,8F3EAC9171F405F472C34E8466458022,2023-01-15 00:00:00,008,氯化氢,17.3,50,,0,0,2023-01-16T12:35:06.76,2023-01-17T14:31:07.623,20230115
