ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
536FDA86F72AAB9D799A87A151CDFAA2,536FDA86F72AAB9DBAA0178A4F945202,2023-01-09 00:00:00,001,颗粒物,0.785,20,,0,0,2023-01-10T12:35:07.18,2023-01-11T14:30:33.9,20230109
536FDA86F72AAB9D799A87A151CDFAA2,536FDA86F72AAB9DBAA0178A4F945202,2023-01-09 00:00:00,002,二氧化硫,54.198,80,,0,0,2023-01-10T12:35:07.18,2023-01-11T14:30:33.9,20230109
536FDA86F72AAB9D799A87A151CDFAA2,536FDA86F72AAB9DBAA0178A4F945202,2023-01-09 00:00:00,003,氮氧化物,115.314,250,,0,0,2023-01-10T12:35:07.18,2023-01-11T14:30:33.9,20230109
536FDA86F72AAB9D799A87A151CDFAA2,536FDA86F72AAB9DBAA0178A4F945202,2023-01-09 00:00:00,004,一氧化碳,22.853,80,,0,0,2023-01-10T12:35:07.18,2023-01-11T14:30:33.9,20230109
536FDA86F72AAB9D799A87A151CDFAA2,536FDA86F72AAB9DBAA0178A4F945202,2023-01-09 00:00:00,008,氯化氢,34.705,50,,0,0,2023-01-10T12:35:07.18,2023-01-11T14:30:33.9,20230109
536FDA86F72AAB9D799A87A151CDFAA2,85FAF0B496F86BAD32853B69A49225B167BD10805CE0B2800FCC53010EC99256A8D95F4EA2E590A6,2023-01-09 00:00:00,001,颗粒物,2.181,20,,0,0,2023-01-10T12:35:07.597,2023-01-11T14:30:33.9,20230109
536FDA86F72AAB9D799A87A151CDFAA2,85FAF0B496F86BAD32853B69A49225B167BD10805CE0B2800FCC53010EC99256A8D95F4EA2E590A6,2023-01-09 00:00:00,002,二氧化硫,55.474,80,,0,0,2023-01-10T12:35:07.597,2023-01-11T14:30:33.9,20230109
536FDA86F72AAB9D799A87A151CDFAA2,85FAF0B496F86BAD32853B69A49225B167BD10805CE0B2800FCC53010EC99256A8D95F4EA2E590A6,2023-01-09 00:00:00,003,氮氧化物,101.276,250,,0,0,2023-01-10T12:35:07.6,2023-01-11T14:30:33.9,20230109
536FDA86F72AAB9D799A87A151CDFAA2,85FAF0B496F86BAD32853B69A49225B167BD10805CE0B2800FCC53010EC99256A8D95F4EA2E590A6,2023-01-09 00:00:00,004,一氧化碳,35.258,80,,0,0,2023-01-10T12:35:07.6,2023-01-11T14:30:33.9,20230109
536FDA86F72AAB9D799A87A151CDFAA2,85FAF0B496F86BAD32853B69A49225B167BD10805CE0B2800FCC53010EC99256A8D95F4EA2E590A6,2023-01-09 00:00:00,008,氯化氢,21.061,50,,0,0,2023-01-10T12:35:07.6,2023-01-11T14:30:33.9,20230109
