ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
006DD9253AB5C1E9BF243C4DCE334397,5EC5C851897206F537028093F084C3A6AB8A70A27DC7BA0A6CB78B2F4B3CD7F0016FCCD4F6BD278B,2023-01-08 00:00:00,001,颗粒物,0.869,20,,0,0,2023-01-09T12:35:06.377,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,5EC5C851897206F537028093F084C3A6AB8A70A27DC7BA0A6CB78B2F4B3CD7F0016FCCD4F6BD278B,2023-01-08 00:00:00,002,二氧化硫,14.453,80,,0,0,2023-01-09T12:35:06.377,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,5EC5C851897206F537028093F084C3A6AB8A70A27DC7BA0A6CB78B2F4B3CD7F0016FCCD4F6BD278B,2023-01-08 00:00:00,003,氮氧化物,71.349,250,,0,0,2023-01-09T12:35:06.377,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,5EC5C851897206F537028093F084C3A6AB8A70A27DC7BA0A6CB78B2F4B3CD7F0016FCCD4F6BD278B,2023-01-08 00:00:00,004,一氧化碳,1.752,80,,0,0,2023-01-09T12:35:06.377,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,5EC5C851897206F537028093F084C3A6AB8A70A27DC7BA0A6CB78B2F4B3CD7F0016FCCD4F6BD278B,2023-01-08 00:00:00,008,氯化氢,2.494,50,,0,0,2023-01-09T12:35:06.377,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,5EC5C851897206F537028093F084C3A6BE56F781989B61EE6F890F598C96359521FE7A73073BE79F,2023-01-08 00:00:00,001,颗粒物,0.955,20,,0,0,2023-01-09T12:35:06.317,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,5EC5C851897206F537028093F084C3A6BE56F781989B61EE6F890F598C96359521FE7A73073BE79F,2023-01-08 00:00:00,002,二氧化硫,14.876,80,,0,0,2023-01-09T12:35:06.317,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,5EC5C851897206F537028093F084C3A6BE56F781989B61EE6F890F598C96359521FE7A73073BE79F,2023-01-08 00:00:00,003,氮氧化物,78.035,250,,0,0,2023-01-09T12:35:06.317,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,5EC5C851897206F537028093F084C3A6BE56F781989B61EE6F890F598C96359521FE7A73073BE79F,2023-01-08 00:00:00,004,一氧化碳,0.898,80,,0,0,2023-01-09T12:35:06.317,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,5EC5C851897206F537028093F084C3A6BE56F781989B61EE6F890F598C96359521FE7A73073BE79F,2023-01-08 00:00:00,008,氯化氢,5.346,50,,0,0,2023-01-09T12:35:06.317,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,006DD9253AB5C1E9F7F2677E6067DD02,2023-01-08 00:00:00,001,颗粒物,1.538,20,,0,0,2023-01-09T12:35:06.407,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,006DD9253AB5C1E9F7F2677E6067DD02,2023-01-08 00:00:00,002,二氧化硫,16.686,80,,0,0,2023-01-09T12:35:06.407,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,006DD9253AB5C1E9F7F2677E6067DD02,2023-01-08 00:00:00,003,氮氧化物,75.445,250,,0,0,2023-01-09T12:35:06.407,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,006DD9253AB5C1E9F7F2677E6067DD02,2023-01-08 00:00:00,004,一氧化碳,2.53,80,,0,0,2023-01-09T12:35:06.407,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,006DD9253AB5C1E9F7F2677E6067DD02,2023-01-08 00:00:00,008,氯化氢,2.336,50,,0,0,2023-01-09T12:35:06.41,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,006DD9253AB5C1E95FF93567CB05AB3C,2023-01-08 00:00:00,001,颗粒物,2.565,20,,0,0,2023-01-09T12:35:06.413,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,006DD9253AB5C1E95FF93567CB05AB3C,2023-01-08 00:00:00,002,二氧化硫,20.087,80,,0,0,2023-01-09T12:35:06.413,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,006DD9253AB5C1E95FF93567CB05AB3C,2023-01-08 00:00:00,003,氮氧化物,79.264,250,,0,0,2023-01-09T12:35:06.417,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,006DD9253AB5C1E95FF93567CB05AB3C,2023-01-08 00:00:00,004,一氧化碳,0.284,60,,0,0,2023-01-09T12:35:06.417,2023-01-10T14:30:43.48,20230108
006DD9253AB5C1E9BF243C4DCE334397,006DD9253AB5C1E95FF93567CB05AB3C,2023-01-08 00:00:00,008,氯化氢,3.571,50,,0,0,2023-01-09T12:35:06.413,2023-01-10T14:30:43.48,20230108
