ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
DE3681CD588BB5A768086314E8885B94,DE3681CD588BB5A77EF3095F70EF010A,2023-01-08 00:00:00,001,颗粒物,2.647,20,,0,0,2023-01-09T12:35:04.74,2023-01-10T14:30:43.48,20230108
DE3681CD588BB5A768086314E8885B94,DE3681CD588BB5A77EF3095F70EF010A,2023-01-08 00:00:00,002,二氧化硫,46.594,80,,0,0,2023-01-09T12:35:04.743,2023-01-10T14:30:43.48,20230108
DE3681CD588BB5A768086314E8885B94,DE3681CD588BB5A77EF3095F70EF010A,2023-01-08 00:00:00,003,氮氧化物,170.362,250,,0,0,2023-01-09T12:35:04.743,2023-01-10T14:30:43.48,20230108
DE3681CD588BB5A768086314E8885B94,DE3681CD588BB5A77EF3095F70EF010A,2023-01-08 00:00:00,004,一氧化碳,26.217,80,,0,0,2023-01-09T12:35:04.743,2023-01-10T14:30:43.48,20230108
DE3681CD588BB5A768086314E8885B94,DE3681CD588BB5A77EF3095F70EF010A,2023-01-08 00:00:00,008,氯化氢,8.937,50,,0,0,2023-01-09T12:35:04.743,2023-01-10T14:30:43.48,20230108
DE3681CD588BB5A768086314E8885B94,DE3681CD588BB5A73592E25B75D2D949,2023-01-08 00:00:00,001,颗粒物,0.603,20,,0,0,2023-01-09T12:35:04.71,2023-01-09T12:35:04.71,20230108
DE3681CD588BB5A768086314E8885B94,DE3681CD588BB5A73592E25B75D2D949,2023-01-08 00:00:00,002,二氧化硫,48.241,80,,0,0,2023-01-09T12:35:04.713,2023-01-09T12:35:04.713,20230108
DE3681CD588BB5A768086314E8885B94,DE3681CD588BB5A73592E25B75D2D949,2023-01-08 00:00:00,003,氮氧化物,170.514,250,,0,0,2023-01-09T12:35:04.713,2023-01-09T12:35:04.713,20230108
DE3681CD588BB5A768086314E8885B94,DE3681CD588BB5A73592E25B75D2D949,2023-01-08 00:00:00,004,一氧化碳,17.926,80,,0,0,2023-01-09T12:35:04.713,2023-01-09T12:35:04.713,20230108
DE3681CD588BB5A768086314E8885B94,DE3681CD588BB5A73592E25B75D2D949,2023-01-08 00:00:00,008,氯化氢,7.43,30,,0,0,2023-01-09T12:35:04.713,2023-01-09T12:35:04.713,20230108
