ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
168EF8854D206042C76CAE9F746636C4,168EF8854D206042E58AAA9D757C1626,2023-01-19 00:00:00,001,颗粒物,2.121,20,,0,0,2023-01-20T12:35:03.21,2023-01-20T12:35:03.21,20230119
168EF8854D206042C76CAE9F746636C4,168EF8854D206042E58AAA9D757C1626,2023-01-19 00:00:00,002,二氧化硫,2.218,80,,0,0,2023-01-20T12:35:03.21,2023-01-20T12:35:03.21,20230119
168EF8854D206042C76CAE9F746636C4,168EF8854D206042E58AAA9D757C1626,2023-01-19 00:00:00,003,氮氧化物,159.152,250,,0,0,2023-01-20T12:35:03.21,2023-01-20T12:35:03.21,20230119
168EF8854D206042C76CAE9F746636C4,168EF8854D206042E58AAA9D757C1626,2023-01-19 00:00:00,004,一氧化碳,1.417,80,,0,0,2023-01-20T12:35:03.21,2023-01-20T12:35:03.21,20230119
168EF8854D206042C76CAE9F746636C4,168EF8854D206042E58AAA9D757C1626,2023-01-19 00:00:00,008,氯化氢,9.555,50,,0,0,2023-01-20T12:35:03.21,2023-01-20T12:35:03.21,20230119
168EF8854D206042C76CAE9F746636C4,168EF8854D20604201A9F98058EFF34C,2023-01-19 00:00:00,001,颗粒物,3.1,20,,0,0,2023-01-20T12:35:03.197,2023-01-20T12:35:03.197,20230119
168EF8854D206042C76CAE9F746636C4,168EF8854D20604201A9F98058EFF34C,2023-01-19 00:00:00,002,二氧化硫,16.392,80,,0,0,2023-01-20T12:35:03.197,2023-01-20T12:35:03.197,20230119
168EF8854D206042C76CAE9F746636C4,168EF8854D20604201A9F98058EFF34C,2023-01-19 00:00:00,003,氮氧化物,186.037,250,,0,0,2023-01-20T12:35:03.197,2023-01-20T12:35:03.197,20230119
168EF8854D206042C76CAE9F746636C4,168EF8854D20604201A9F98058EFF34C,2023-01-19 00:00:00,004,一氧化碳,1.352,80,,0,0,2023-01-20T12:35:03.197,2023-01-20T12:35:03.197,20230119
168EF8854D206042C76CAE9F746636C4,168EF8854D20604201A9F98058EFF34C,2023-01-19 00:00:00,008,氯化氢,9.315,50,,0,0,2023-01-20T12:35:03.197,2023-01-20T12:35:03.197,20230119
