ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
27759AA696B692BDC454C7A8BB38D882,27759AA696B692BD8634D3A2D9A056DD,2023-01-16 00:00:00,001,颗粒物,2.419,20,,0,0,2023-01-17T12:35:04.03,2023-01-18T14:30:24.197,20230116
27759AA696B692BDC454C7A8BB38D882,27759AA696B692BD8634D3A2D9A056DD,2023-01-16 00:00:00,002,二氧化硫,5.9,80,,0,0,2023-01-17T12:35:04.03,2023-01-18T14:30:24.197,20230116
27759AA696B692BDC454C7A8BB38D882,27759AA696B692BD8634D3A2D9A056DD,2023-01-16 00:00:00,003,氮氧化物,92.432,250,,0,0,2023-01-17T12:35:04.033,2023-01-18T14:30:24.197,20230116
27759AA696B692BDC454C7A8BB38D882,27759AA696B692BD8634D3A2D9A056DD,2023-01-16 00:00:00,004,一氧化碳,0.816,80,,0,0,2023-01-17T12:35:04.033,2023-01-18T14:30:24.197,20230116
27759AA696B692BDC454C7A8BB38D882,27759AA696B692BD8634D3A2D9A056DD,2023-01-16 00:00:00,008,氯化氢,3.629,50,,0,0,2023-01-17T12:35:04.033,2023-01-18T14:30:24.197,20230116
27759AA696B692BDC454C7A8BB38D882,27759AA696B692BD8F0A759DFC836CA7,2023-01-16 00:00:00,001,颗粒物,1.369,20,,0,0,2023-01-17T12:35:03.763,2023-01-17T12:35:03.763,20230116
27759AA696B692BDC454C7A8BB38D882,27759AA696B692BD8F0A759DFC836CA7,2023-01-16 00:00:00,002,二氧化硫,8.735,80,,0,0,2023-01-17T12:35:03.767,2023-01-17T12:35:03.767,20230116
27759AA696B692BDC454C7A8BB38D882,27759AA696B692BD8F0A759DFC836CA7,2023-01-16 00:00:00,003,氮氧化物,99.053,250,,0,0,2023-01-17T12:35:03.767,2023-01-17T12:35:03.767,20230116
27759AA696B692BDC454C7A8BB38D882,27759AA696B692BD8F0A759DFC836CA7,2023-01-16 00:00:00,004,一氧化碳,2.463,80,,0,0,2023-01-17T12:35:03.767,2023-01-17T12:35:03.767,20230116
27759AA696B692BDC454C7A8BB38D882,27759AA696B692BD8F0A759DFC836CA7,2023-01-16 00:00:00,008,氯化氢,4.297,50,,0,0,2023-01-17T12:35:03.767,2023-01-17T12:35:03.767,20230116
