ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
27759AA696B692BD44D318F064604EE5,27759AA696B692BD3129BBEEC1DCDF6D,2023-01-14 00:00:00,001,颗粒物,,20,,0,0,2023-01-15T12:35:05.15,2023-01-16T14:30:59.697,20230114
27759AA696B692BD44D318F064604EE5,27759AA696B692BD3129BBEEC1DCDF6D,2023-01-14 00:00:00,002,二氧化硫,,80,,0,0,2023-01-15T12:35:05.15,2023-01-16T14:30:59.697,20230114
27759AA696B692BD44D318F064604EE5,27759AA696B692BD3129BBEEC1DCDF6D,2023-01-14 00:00:00,003,氮氧化物,,250,,0,0,2023-01-15T12:35:05.15,2023-01-16T14:30:59.697,20230114
27759AA696B692BD44D318F064604EE5,27759AA696B692BD3129BBEEC1DCDF6D,2023-01-14 00:00:00,004,一氧化碳,,80,,0,0,2023-01-15T12:35:05.15,2023-01-16T14:30:59.697,20230114
27759AA696B692BD44D318F064604EE5,27759AA696B692BD3129BBEEC1DCDF6D,2023-01-14 00:00:00,008,氯化氢,,50,,0,0,2023-01-15T12:35:05.15,2023-01-16T14:30:59.697,20230114
27759AA696B692BD44D318F064604EE5,27759AA696B692BD994DD382CFA5CE64,2023-01-14 00:00:00,001,颗粒物,0.975,20,,0,0,2023-01-15T12:35:05.137,2023-01-16T14:30:59.697,20230114
27759AA696B692BD44D318F064604EE5,27759AA696B692BD994DD382CFA5CE64,2023-01-14 00:00:00,002,二氧化硫,2.212,80,,0,0,2023-01-15T12:35:05.137,2023-01-16T14:30:59.697,20230114
27759AA696B692BD44D318F064604EE5,27759AA696B692BD994DD382CFA5CE64,2023-01-14 00:00:00,003,氮氧化物,75.901,250,,0,0,2023-01-15T12:35:05.137,2023-01-16T14:30:59.697,20230114
27759AA696B692BD44D318F064604EE5,27759AA696B692BD994DD382CFA5CE64,2023-01-14 00:00:00,004,一氧化碳,10.016,80,,0,0,2023-01-15T12:35:05.14,2023-01-16T14:30:59.697,20230114
27759AA696B692BD44D318F064604EE5,27759AA696B692BD994DD382CFA5CE64,2023-01-14 00:00:00,008,氯化氢,0.956,50,,0,0,2023-01-15T12:35:05.14,2023-01-16T14:30:59.697,20230114
27759AA696B692BD44D318F064604EE5,27759AA696B692BDD5ACBE1F43A63839,2023-01-14 00:00:00,001,颗粒物,0.809,20,,0,0,2023-01-15T12:35:05.137,2023-01-16T14:30:59.697,20230114
27759AA696B692BD44D318F064604EE5,27759AA696B692BDD5ACBE1F43A63839,2023-01-14 00:00:00,002,二氧化硫,3.001,80,,0,0,2023-01-15T12:35:05.137,2023-01-16T14:30:59.697,20230114
27759AA696B692BD44D318F064604EE5,27759AA696B692BDD5ACBE1F43A63839,2023-01-14 00:00:00,003,氮氧化物,66.787,250,,0,0,2023-01-15T12:35:05.137,2023-01-16T14:30:59.697,20230114
27759AA696B692BD44D318F064604EE5,27759AA696B692BDD5ACBE1F43A63839,2023-01-14 00:00:00,004,一氧化碳,10.365,80,,0,0,2023-01-15T12:35:05.137,2023-01-16T14:30:59.697,20230114
27759AA696B692BD44D318F064604EE5,27759AA696B692BDD5ACBE1F43A63839,2023-01-14 00:00:00,008,氯化氢,0.66,50,,0,0,2023-01-15T12:35:05.137,2023-01-16T14:30:59.697,20230114
