ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECCCFA77BEC883A2BD9,2023-01-25 00:00:00,001,颗粒物,0.172,20,,0,0,2023-01-26T12:35:03.69,2023-01-27T14:30:47.613,20230125
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECCCFA77BEC883A2BD9,2023-01-25 00:00:00,002,二氧化硫,30.391,80,,0,0,2023-01-26T12:35:03.69,2023-01-27T14:30:47.613,20230125
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECCCFA77BEC883A2BD9,2023-01-25 00:00:00,003,氮氧化物,109.542,250,,0,0,2023-01-26T12:35:03.69,2023-01-27T14:30:47.613,20230125
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECCCFA77BEC883A2BD9,2023-01-25 00:00:00,004,一氧化碳,2.925,80,,0,0,2023-01-26T12:35:03.69,2023-01-27T14:30:47.613,20230125
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECCCFA77BEC883A2BD9,2023-01-25 00:00:00,008,氯化氢,18.206,50,,0,0,2023-01-26T12:35:03.693,2023-01-27T14:30:47.613,20230125
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC0153AAEB877FA0F2,2023-01-25 00:00:00,001,颗粒物,0.317,20,,0,0,2023-01-26T12:35:03.74,2023-01-27T14:30:47.613,20230125
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC0153AAEB877FA0F2,2023-01-25 00:00:00,002,二氧化硫,22.549,80,,0,0,2023-01-26T12:35:03.74,2023-01-27T14:30:47.613,20230125
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC0153AAEB877FA0F2,2023-01-25 00:00:00,003,氮氧化物,103.458,250,,0,0,2023-01-26T12:35:03.74,2023-01-27T14:30:47.613,20230125
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC0153AAEB877FA0F2,2023-01-25 00:00:00,004,一氧化碳,3.622,80,,0,0,2023-01-26T12:35:03.74,2023-01-27T14:30:47.613,20230125
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC0153AAEB877FA0F2,2023-01-25 00:00:00,008,氯化氢,24.297,50,,0,0,2023-01-26T12:35:03.74,2023-01-27T14:30:47.613,20230125
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC34F275EA918D4813,2023-01-25 00:00:00,001,颗粒物,0.25,20,,0,0,2023-01-26T12:35:03.54,2023-01-27T14:30:47.613,20230125
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC34F275EA918D4813,2023-01-25 00:00:00,002,二氧化硫,22.315,80,,0,0,2023-01-26T12:35:03.54,2023-01-27T14:30:47.613,20230125
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC34F275EA918D4813,2023-01-25 00:00:00,003,氮氧化物,97.259,250,,0,0,2023-01-26T12:35:03.54,2023-01-27T14:30:47.613,20230125
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC34F275EA918D4813,2023-01-25 00:00:00,004,一氧化碳,9.048,80,,0,0,2023-01-26T12:35:03.54,2023-01-27T14:30:47.613,20230125
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC34F275EA918D4813,2023-01-25 00:00:00,008,氯化氢,22.521,50,,0,0,2023-01-26T12:35:03.54,2023-01-27T14:30:47.613,20230125
