ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
0292E4266C2A737F308941F3F8DA37EB,0292E4266C2A737FA1D6B8B7D5FC0846,2023-01-12 00:00:00,001,颗粒物,2.32,20,CEMS维护,0,0,2023-01-13T12:35:05.083,2023-05-07T14:33:15.343,20230112
0292E4266C2A737F308941F3F8DA37EB,0292E4266C2A737FA1D6B8B7D5FC0846,2023-01-12 00:00:00,002,二氧化硫,6.872,80,CEMS维护,0,0,2023-01-13T12:35:05.083,2023-05-07T14:33:15.343,20230112
0292E4266C2A737F308941F3F8DA37EB,0292E4266C2A737FA1D6B8B7D5FC0846,2023-01-12 00:00:00,003,氮氧化物,54.059,250,CEMS维护,0,0,2023-01-13T12:35:05.087,2023-05-07T14:33:15.343,20230112
0292E4266C2A737F308941F3F8DA37EB,0292E4266C2A737FA1D6B8B7D5FC0846,2023-01-12 00:00:00,004,一氧化碳,2.836,80,CEMS维护,0,0,2023-01-13T12:35:05.087,2023-05-07T14:33:15.343,20230112
0292E4266C2A737F308941F3F8DA37EB,0292E4266C2A737FA1D6B8B7D5FC0846,2023-01-12 00:00:00,008,氯化氢,2.9,50,CEMS维护,0,0,2023-01-13T12:35:05.087,2023-05-07T14:33:15.343,20230112
0292E4266C2A737F308941F3F8DA37EB,0292E4266C2A737F9BEA0DBF82C0075E,2023-01-12 00:00:00,001,颗粒物,2.439,20,CEMS维护,0,0,2023-01-13T12:35:04.45,2023-05-07T14:33:15.343,20230112
0292E4266C2A737F308941F3F8DA37EB,0292E4266C2A737F9BEA0DBF82C0075E,2023-01-12 00:00:00,002,二氧化硫,8.094,80,CEMS维护,0,0,2023-01-13T12:35:04.45,2023-05-07T14:33:15.343,20230112
0292E4266C2A737F308941F3F8DA37EB,0292E4266C2A737F9BEA0DBF82C0075E,2023-01-12 00:00:00,003,氮氧化物,53.738,250,CEMS维护,0,0,2023-01-13T12:35:04.45,2023-05-07T14:33:15.343,20230112
0292E4266C2A737F308941F3F8DA37EB,0292E4266C2A737F9BEA0DBF82C0075E,2023-01-12 00:00:00,004,一氧化碳,3.4,80,CEMS维护,0,0,2023-01-13T12:35:04.45,2023-05-07T14:33:15.343,20230112
0292E4266C2A737F308941F3F8DA37EB,0292E4266C2A737F9BEA0DBF82C0075E,2023-01-12 00:00:00,008,氯化氢,8.023,50,CEMS维护,0,0,2023-01-13T12:35:04.45,2023-05-07T14:33:15.343,20230112
