ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
8609CB94471AA9B69BD7D641BECED2FD,8609CB94471AA9B6CD8DF9C817557B82,2023-01-23 00:00:00,001,颗粒物,4.43,20,,0,0,2023-01-24T12:35:05.75,2023-01-25T14:30:21.603,20230123
8609CB94471AA9B69BD7D641BECED2FD,8609CB94471AA9B6CD8DF9C817557B82,2023-01-23 00:00:00,002,二氧化硫,12.67,80,,0,0,2023-01-24T12:35:05.75,2023-01-25T14:30:21.603,20230123
8609CB94471AA9B69BD7D641BECED2FD,8609CB94471AA9B6CD8DF9C817557B82,2023-01-23 00:00:00,003,氮氧化物,137.93,150,,0,0,2023-01-24T12:35:05.753,2023-01-25T14:30:21.603,20230123
8609CB94471AA9B69BD7D641BECED2FD,8609CB94471AA9B6CD8DF9C817557B82,2023-01-23 00:00:00,004,一氧化碳,1.976,80,,0,0,2023-01-24T12:35:05.753,2023-01-25T14:30:21.603,20230123
8609CB94471AA9B69BD7D641BECED2FD,8609CB94471AA9B6CD8DF9C817557B82,2023-01-23 00:00:00,008,氯化氢,28.808,50,,0,0,2023-01-24T12:35:05.757,2023-01-25T14:30:21.603,20230123
8609CB94471AA9B69BD7D641BECED2FD,8609CB94471AA9B61200D189FB6A6748,2023-01-23 00:00:00,001,颗粒物,5.53,20,,0,0,2023-01-24T12:35:06.127,2023-01-25T14:30:21.603,20230123
8609CB94471AA9B69BD7D641BECED2FD,8609CB94471AA9B61200D189FB6A6748,2023-01-23 00:00:00,002,二氧化硫,25.58,80,,0,0,2023-01-24T12:35:06.127,2023-01-25T14:30:21.603,20230123
8609CB94471AA9B69BD7D641BECED2FD,8609CB94471AA9B61200D189FB6A6748,2023-01-23 00:00:00,003,氮氧化物,124.258,150,,0,0,2023-01-24T12:35:06.127,2023-01-25T14:30:21.603,20230123
8609CB94471AA9B69BD7D641BECED2FD,8609CB94471AA9B61200D189FB6A6748,2023-01-23 00:00:00,004,一氧化碳,1.244,80,,0,0,2023-01-24T12:35:06.127,2023-01-25T14:30:21.603,20230123
8609CB94471AA9B69BD7D641BECED2FD,8609CB94471AA9B61200D189FB6A6748,2023-01-23 00:00:00,008,氯化氢,23.438,50,,0,0,2023-01-24T12:35:06.127,2023-01-25T14:30:21.603,20230123
