ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
FF3484BBAC9308215241DC4694A64903,FF3484BBAC93082143806FD3960449DC,2023-01-27 00:00:00,001,颗粒物,3.346,20,,0,0,2023-01-28T12:35:03.4,2023-01-29T14:30:24.41,20230127
FF3484BBAC9308215241DC4694A64903,FF3484BBAC93082143806FD3960449DC,2023-01-27 00:00:00,002,二氧化硫,12.796,80,,0,0,2023-01-28T12:35:03.4,2023-01-29T14:30:24.41,20230127
FF3484BBAC9308215241DC4694A64903,FF3484BBAC93082143806FD3960449DC,2023-01-27 00:00:00,003,氮氧化物,164.941,250,,0,0,2023-01-28T12:35:03.4,2023-01-29T14:30:24.41,20230127
FF3484BBAC9308215241DC4694A64903,FF3484BBAC93082143806FD3960449DC,2023-01-27 00:00:00,004,一氧化碳,2.049,80,,0,0,2023-01-28T12:35:03.4,2023-01-29T14:30:24.41,20230127
FF3484BBAC9308215241DC4694A64903,FF3484BBAC93082143806FD3960449DC,2023-01-27 00:00:00,008,氯化氢,8.927,50,,0,0,2023-01-28T12:35:03.4,2023-01-29T14:30:24.41,20230127
FF3484BBAC9308215241DC4694A64903,FF3484BBAC930821958B8B698EC1A69B,2023-01-27 00:00:00,001,颗粒物,4.554,20,,0,0,2023-01-28T12:35:03.403,2023-01-29T14:30:24.41,20230127
FF3484BBAC9308215241DC4694A64903,FF3484BBAC930821958B8B698EC1A69B,2023-01-27 00:00:00,002,二氧化硫,12.948,80,,0,0,2023-01-28T12:35:03.403,2023-01-29T14:30:24.41,20230127
FF3484BBAC9308215241DC4694A64903,FF3484BBAC930821958B8B698EC1A69B,2023-01-27 00:00:00,003,氮氧化物,166.047,250,,0,0,2023-01-28T12:35:03.403,2023-01-29T14:30:24.41,20230127
FF3484BBAC9308215241DC4694A64903,FF3484BBAC930821958B8B698EC1A69B,2023-01-27 00:00:00,004,一氧化碳,1.408,80,,0,0,2023-01-28T12:35:03.403,2023-01-29T14:30:24.41,20230127
FF3484BBAC9308215241DC4694A64903,FF3484BBAC930821958B8B698EC1A69B,2023-01-27 00:00:00,008,氯化氢,8.858,50,,0,0,2023-01-28T12:35:03.403,2023-01-29T14:30:24.41,20230127
FF3484BBAC9308215241DC4694A64903,FF3484BBAC93082155746E94CB97AD03,2023-01-27 00:00:00,001,颗粒物,2.191,20,,0,0,2023-01-28T12:35:03.403,2023-01-29T14:30:24.41,20230127
FF3484BBAC9308215241DC4694A64903,FF3484BBAC93082155746E94CB97AD03,2023-01-27 00:00:00,002,二氧化硫,17.102,80,,0,0,2023-01-28T12:35:03.407,2023-01-29T14:30:24.41,20230127
FF3484BBAC9308215241DC4694A64903,FF3484BBAC93082155746E94CB97AD03,2023-01-27 00:00:00,003,氮氧化物,159.312,250,,0,0,2023-01-28T12:35:03.407,2023-01-29T14:30:24.41,20230127
FF3484BBAC9308215241DC4694A64903,FF3484BBAC93082155746E94CB97AD03,2023-01-27 00:00:00,004,一氧化碳,1.399,80,,0,0,2023-01-28T12:35:03.407,2023-01-29T14:30:24.41,20230127
FF3484BBAC9308215241DC4694A64903,FF3484BBAC93082155746E94CB97AD03,2023-01-27 00:00:00,008,氯化氢,8.814,50,,0,0,2023-01-28T12:35:03.407,2023-01-29T14:30:24.41,20230127
