ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
D867B2EB47859D8DB749360EAD92E071ED91BF9A8DD54F708FCD6ACE0660C5478DFD72FD0CBCE721,D867B2EB47859D8DB749360EAD92E0719AB90CBE3005C300C7B453947F080F64877CC2E1D0EFEF9B,2023-01-17 00:00:00,001,颗粒物,2.286,20,,0,0,2023-01-18T12:35:09.603,2023-01-18T12:35:09.603,20230117
D867B2EB47859D8DB749360EAD92E071ED91BF9A8DD54F708FCD6ACE0660C5478DFD72FD0CBCE721,D867B2EB47859D8DB749360EAD92E0719AB90CBE3005C300C7B453947F080F64877CC2E1D0EFEF9B,2023-01-17 00:00:00,002,二氧化硫,46.188,80,,0,0,2023-01-18T12:35:09.603,2023-01-18T12:35:09.603,20230117
D867B2EB47859D8DB749360EAD92E071ED91BF9A8DD54F708FCD6ACE0660C5478DFD72FD0CBCE721,D867B2EB47859D8DB749360EAD92E0719AB90CBE3005C300C7B453947F080F64877CC2E1D0EFEF9B,2023-01-17 00:00:00,003,氮氧化物,127.311,250,,0,0,2023-01-18T12:35:09.603,2023-01-18T12:35:09.603,20230117
D867B2EB47859D8DB749360EAD92E071ED91BF9A8DD54F708FCD6ACE0660C5478DFD72FD0CBCE721,D867B2EB47859D8DB749360EAD92E0719AB90CBE3005C300C7B453947F080F64877CC2E1D0EFEF9B,2023-01-17 00:00:00,004,一氧化碳,3.623,80,,0,0,2023-01-18T12:35:09.603,2023-01-18T12:35:09.603,20230117
D867B2EB47859D8DB749360EAD92E071ED91BF9A8DD54F708FCD6ACE0660C5478DFD72FD0CBCE721,D867B2EB47859D8DB749360EAD92E0719AB90CBE3005C300C7B453947F080F64877CC2E1D0EFEF9B,2023-01-17 00:00:00,008,氯化氢,11.64,50,,0,0,2023-01-18T12:35:09.603,2023-01-18T12:35:09.603,20230117
D867B2EB47859D8DB749360EAD92E071ED91BF9A8DD54F708FCD6ACE0660C5478DFD72FD0CBCE721,D867B2EB47859D8DB749360EAD92E071A54D80913039FB42E062C5D846F6E391E0D04ED094170D90,2023-01-17 00:00:00,001,颗粒物,2.142,20,,0,0,2023-01-18T12:35:09.61,2023-01-18T12:35:09.61,20230117
D867B2EB47859D8DB749360EAD92E071ED91BF9A8DD54F708FCD6ACE0660C5478DFD72FD0CBCE721,D867B2EB47859D8DB749360EAD92E071A54D80913039FB42E062C5D846F6E391E0D04ED094170D90,2023-01-17 00:00:00,002,二氧化硫,41.945,80,,0,0,2023-01-18T12:35:09.61,2023-01-18T12:35:09.61,20230117
D867B2EB47859D8DB749360EAD92E071ED91BF9A8DD54F708FCD6ACE0660C5478DFD72FD0CBCE721,D867B2EB47859D8DB749360EAD92E071A54D80913039FB42E062C5D846F6E391E0D04ED094170D90,2023-01-17 00:00:00,003,氮氧化物,121.43,250,,0,0,2023-01-18T12:35:09.61,2023-01-18T12:35:09.61,20230117
D867B2EB47859D8DB749360EAD92E071ED91BF9A8DD54F708FCD6ACE0660C5478DFD72FD0CBCE721,D867B2EB47859D8DB749360EAD92E071A54D80913039FB42E062C5D846F6E391E0D04ED094170D90,2023-01-17 00:00:00,004,一氧化碳,1.649,80,,0,0,2023-01-18T12:35:09.61,2023-01-18T12:35:09.61,20230117
D867B2EB47859D8DB749360EAD92E071ED91BF9A8DD54F708FCD6ACE0660C5478DFD72FD0CBCE721,D867B2EB47859D8DB749360EAD92E071A54D80913039FB42E062C5D846F6E391E0D04ED094170D90,2023-01-17 00:00:00,008,氯化氢,14.342,50,,0,0,2023-01-18T12:35:09.61,2023-01-18T12:35:09.61,20230117
