ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
9A88B06566B351E29C10A72FC7E92191,9A88B06566B351E2C64827B89AFAAD34,2023-01-13 00:00:00,001,颗粒物,,20,,0,0,2023-01-14T12:35:04.36,2023-01-16T14:30:59.697,20230113
9A88B06566B351E29C10A72FC7E92191,9A88B06566B351E2C64827B89AFAAD34,2023-01-13 00:00:00,002,二氧化硫,,80,,0,0,2023-01-14T12:35:04.36,2023-01-16T14:30:59.697,20230113
9A88B06566B351E29C10A72FC7E92191,9A88B06566B351E2C64827B89AFAAD34,2023-01-13 00:00:00,003,氮氧化物,,250,,0,0,2023-01-14T12:35:04.36,2023-01-16T14:30:59.697,20230113
9A88B06566B351E29C10A72FC7E92191,9A88B06566B351E2C64827B89AFAAD34,2023-01-13 00:00:00,004,一氧化碳,,80,,0,0,2023-01-14T12:35:04.36,2023-01-16T14:30:59.697,20230113
9A88B06566B351E29C10A72FC7E92191,9A88B06566B351E2C64827B89AFAAD34,2023-01-13 00:00:00,008,氯化氢,,50,,0,0,2023-01-14T12:35:04.36,2023-01-16T14:30:59.697,20230113
9A88B06566B351E29C10A72FC7E92191,9A88B06566B351E2C0CE5AEE49091E9C,2023-01-13 00:00:00,001,颗粒物,0.333,20,,0,0,2023-01-14T12:35:04.343,2023-01-15T14:30:17.873,20230113
9A88B06566B351E29C10A72FC7E92191,9A88B06566B351E2C0CE5AEE49091E9C,2023-01-13 00:00:00,002,二氧化硫,4.55,80,,0,0,2023-01-14T12:35:04.343,2023-01-15T14:30:17.873,20230113
9A88B06566B351E29C10A72FC7E92191,9A88B06566B351E2C0CE5AEE49091E9C,2023-01-13 00:00:00,003,氮氧化物,152.723,250,,0,0,2023-01-14T12:35:04.343,2023-01-15T14:30:17.873,20230113
9A88B06566B351E29C10A72FC7E92191,9A88B06566B351E2C0CE5AEE49091E9C,2023-01-13 00:00:00,004,一氧化碳,10.592,80,,0,0,2023-01-14T12:35:04.343,2023-01-15T14:30:17.873,20230113
9A88B06566B351E29C10A72FC7E92191,9A88B06566B351E2C0CE5AEE49091E9C,2023-01-13 00:00:00,008,氯化氢,27.645,50,,0,0,2023-01-14T12:35:04.343,2023-01-15T14:30:17.873,20230113
