ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A3EB6DAF3729CF943,2023-01-19 00:00:00,001,颗粒物,1.719,20,,0,0,2023-01-20T12:35:04.993,2023-01-21T14:30:15.28,20230119
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A3EB6DAF3729CF943,2023-01-19 00:00:00,002,二氧化硫,14.689,80,,0,0,2023-01-20T12:35:04.993,2023-01-21T14:30:15.28,20230119
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A3EB6DAF3729CF943,2023-01-19 00:00:00,003,氮氧化物,42.237,250,,0,0,2023-01-20T12:35:04.993,2023-01-21T14:30:15.28,20230119
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A3EB6DAF3729CF943,2023-01-19 00:00:00,004,一氧化碳,4.67,80,,0,0,2023-01-20T12:35:04.993,2023-01-21T14:30:15.28,20230119
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A3EB6DAF3729CF943,2023-01-19 00:00:00,008,氯化氢,1.68,50,,0,0,2023-01-20T12:35:04.997,2023-01-21T14:30:15.28,20230119
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A01454EF2890C9727,2023-01-19 00:00:00,001,颗粒物,0.781,20,,0,0,2023-01-20T12:35:04.99,2023-01-21T14:30:15.28,20230119
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A01454EF2890C9727,2023-01-19 00:00:00,002,二氧化硫,13.602,80,,0,0,2023-01-20T12:35:04.99,2023-01-21T14:30:15.28,20230119
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A01454EF2890C9727,2023-01-19 00:00:00,003,氮氧化物,48.313,250,,0,0,2023-01-20T12:35:04.99,2023-01-21T14:30:15.28,20230119
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A01454EF2890C9727,2023-01-19 00:00:00,004,一氧化碳,4.031,80,,0,0,2023-01-20T12:35:04.99,2023-01-21T14:30:15.28,20230119
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A01454EF2890C9727,2023-01-19 00:00:00,008,氯化氢,1.667,50,,0,0,2023-01-20T12:35:04.99,2023-01-21T14:30:15.28,20230119
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A5C1B88395767691E,2023-01-19 00:00:00,001,颗粒物,,20,,0,0,2023-01-20T12:35:04.99,2023-01-21T14:30:15.28,20230119
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A5C1B88395767691E,2023-01-19 00:00:00,002,二氧化硫,,80,,0,0,2023-01-20T12:35:04.99,2023-01-21T14:30:15.28,20230119
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A5C1B88395767691E,2023-01-19 00:00:00,003,氮氧化物,,250,,0,0,2023-01-20T12:35:04.993,2023-01-21T14:30:15.28,20230119
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A5C1B88395767691E,2023-01-19 00:00:00,004,一氧化碳,,80,,0,0,2023-01-20T12:35:04.993,2023-01-21T14:30:15.28,20230119
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A5C1B88395767691E,2023-01-19 00:00:00,008,氯化氢,,50,,0,0,2023-01-20T12:35:04.993,2023-01-21T14:30:15.28,20230119
