ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
2FC51BC0AB25E921BA9F01B4E327487F,2FC51BC0AB25E921B021F50AC8E711C8,2023-01-21 00:00:00,001,颗粒物,6.05,20,,0,0,2023-01-22T12:35:07.007,2023-01-23T14:30:17.997,20230121
2FC51BC0AB25E921BA9F01B4E327487F,2FC51BC0AB25E921B021F50AC8E711C8,2023-01-21 00:00:00,002,二氧化硫,0.02,80,,0,0,2023-01-22T12:35:07.007,2023-01-23T14:30:17.997,20230121
2FC51BC0AB25E921BA9F01B4E327487F,2FC51BC0AB25E921B021F50AC8E711C8,2023-01-21 00:00:00,003,氮氧化物,138.93,250,,0,0,2023-01-22T12:35:07.01,2023-01-23T14:30:17.997,20230121
2FC51BC0AB25E921BA9F01B4E327487F,2FC51BC0AB25E921B021F50AC8E711C8,2023-01-21 00:00:00,004,一氧化碳,18.85,80,,0,0,2023-01-22T12:35:07.01,2023-01-23T14:30:17.997,20230121
2FC51BC0AB25E921BA9F01B4E327487F,2FC51BC0AB25E921B021F50AC8E711C8,2023-01-21 00:00:00,008,氯化氢,0.75,50,,0,0,2023-01-22T12:35:07.01,2023-01-23T14:30:17.997,20230121
2FC51BC0AB25E921BA9F01B4E327487F,2FC51BC0AB25E92119F8D25A47CD4ADB,2023-01-21 00:00:00,001,颗粒物,6.16,20,,0,0,2023-01-22T12:35:07.02,2023-01-23T14:30:17.997,20230121
2FC51BC0AB25E921BA9F01B4E327487F,2FC51BC0AB25E92119F8D25A47CD4ADB,2023-01-21 00:00:00,002,二氧化硫,2.33,80,,0,0,2023-01-22T12:35:07.02,2023-01-23T14:30:17.997,20230121
2FC51BC0AB25E921BA9F01B4E327487F,2FC51BC0AB25E92119F8D25A47CD4ADB,2023-01-21 00:00:00,003,氮氧化物,135.63,250,,0,0,2023-01-22T12:35:07.02,2023-01-23T14:30:17.997,20230121
2FC51BC0AB25E921BA9F01B4E327487F,2FC51BC0AB25E92119F8D25A47CD4ADB,2023-01-21 00:00:00,004,一氧化碳,15.37,80,,0,0,2023-01-22T12:35:07.02,2023-01-23T14:30:17.997,20230121
2FC51BC0AB25E921BA9F01B4E327487F,2FC51BC0AB25E92119F8D25A47CD4ADB,2023-01-21 00:00:00,008,氯化氢,6.22,50,,0,0,2023-01-22T12:35:07.02,2023-01-23T14:30:17.997,20230121
2FC51BC0AB25E921BA9F01B4E327487F,2FC51BC0AB25E9210D086688BB1B1DFE,2023-01-21 00:00:00,001,颗粒物,4.82,20,,0,0,2023-01-22T12:35:06.997,2023-01-23T14:30:17.997,20230121
2FC51BC0AB25E921BA9F01B4E327487F,2FC51BC0AB25E9210D086688BB1B1DFE,2023-01-21 00:00:00,002,二氧化硫,3.11,80,,0,0,2023-01-22T12:35:06.997,2023-01-23T14:30:17.997,20230121
2FC51BC0AB25E921BA9F01B4E327487F,2FC51BC0AB25E9210D086688BB1B1DFE,2023-01-21 00:00:00,003,氮氧化物,109.49,250,,0,0,2023-01-22T12:35:06.997,2023-01-23T14:30:17.997,20230121
2FC51BC0AB25E921BA9F01B4E327487F,2FC51BC0AB25E9210D086688BB1B1DFE,2023-01-21 00:00:00,004,一氧化碳,21.03,80,,0,0,2023-01-22T12:35:06.997,2023-01-23T14:30:17.997,20230121
2FC51BC0AB25E921BA9F01B4E327487F,2FC51BC0AB25E9210D086688BB1B1DFE,2023-01-21 00:00:00,008,氯化氢,1.46,50,,0,0,2023-01-22T12:35:06.997,2023-01-23T14:30:17.997,20230121
